environment,meter,cost_usd,reason
DEV,Hot LRS Write Operations,0.0869463,"Operacion/transaccion, no volumen almacenado"
HUB,LRS List and Create Container Operations,0.0054362095200000005,"Operacion/transaccion, no volumen almacenado"
HUB,Hot LRS Write Operations,1.89e-05,"Operacion/transaccion, no volumen almacenado"
HUB,Hot Read Operations,1.5624e-05,"Operacion/transaccion, no volumen almacenado"
PROD,Hot LRS Write Operations,1624.6049437800002,"Operacion/transaccion, no volumen almacenado"
PROD,Hot Read Operations,271.7868848688,"Operacion/transaccion, no volumen almacenado"
PROD,Hot GRS Write Operations,185.2133976,"Operacion/transaccion, no volumen almacenado"
PROD,Hot Other Operations,83.6590016808,"Operacion/transaccion, no volumen almacenado"
PROD,GRS List and Create Container Operations,8.9978742,"Operacion/transaccion, no volumen almacenado"
PROD,Hot GRS Iterative Read Operations,5.3535081600000005,"Operacion/transaccion, no volumen almacenado"
PROD,LRS Snapshots,2.0015896824,Sin regla de precio configurada
PROD,Hot LRS Read Operations,0.31208562,"Operacion/transaccion, no volumen almacenado"
PROD,Cool GRS Write Operations,0.209812176,"Operacion/transaccion, no volumen almacenado"
PROD,Cool Data Retrieval,0.0882656838,"Operacion/transaccion, no volumen almacenado"
PROD,Hot LRS Other Operations,0.034813170000000004,"Operacion/transaccion, no volumen almacenado"
PROD,Hot GRS Index,0.032505660684,"Operacion/transaccion, no volumen almacenado"
PROD,Cool Read Operations,0.03063942,"Operacion/transaccion, no volumen almacenado"
PROD,Hot RA-GRS Index,0.029614405968,"Operacion/transaccion, no volumen almacenado"
PROD,LRS List and Create Container Operations,0.02396821392,"Operacion/transaccion, no volumen almacenado"
PROD,Cool RA-GRS Early Delete,0.001103823,"Operacion/transaccion, no volumen almacenado"
PROD,Hot Iterative Read Operations,0.00100737,"Operacion/transaccion, no volumen almacenado"
PROD,GZRS List and Create Container Operations,0.0008747676,"Operacion/transaccion, no volumen almacenado"
PROD,Hot LRS Index,7.3964016e-05,"Operacion/transaccion, no volumen almacenado"
PROD,Hot LRS Delete Operations,0.0,"Operacion/transaccion, no volumen almacenado"
QA,LRS List and Create Container Operations,1.15906272552,"Operacion/transaccion, no volumen almacenado"
QA,Hot LRS Write Operations,0.10019079,"Operacion/transaccion, no volumen almacenado"
QA,Hot GRS Iterative Read Operations,0.04473378,"Operacion/transaccion, no volumen almacenado"
QA,Hot GRS Write Operations,0.0420966,"Operacion/transaccion, no volumen almacenado"
QA,Hot Read Operations,0.027585381600000004,"Operacion/transaccion, no volumen almacenado"
QA,Hot GRS Index,0.022337132832,"Operacion/transaccion, no volumen almacenado"
QA,Premium LRS List and Create Container Operations,0.01898442,"Operacion/transaccion, no volumen almacenado"
QA,Hot Other Operations,0.0060442199999999995,"Operacion/transaccion, no volumen almacenado"
QA,Hot LRS List Operations,0.00382473,"Operacion/transaccion, no volumen almacenado"
QA,Hot LRS Other Operations,0.00026397000000000004,"Operacion/transaccion, no volumen almacenado"
QA,Hot LRS Read Operations,6.426e-05,"Operacion/transaccion, no volumen almacenado"
